_id,city,salary,experience,education,company,companyType,salary_type,salary_min,salary_max,province,is_outlier
bfbc45b05c5a4425210cd2cb3d84ae09GC,S668,150-200元/天,Eby,GP,company_723923,type_lOdYUb,D,37500,50000,S,False
ccda91da207371bee193ca2905b0ea2eOx,S668,800-900元/周,EKk,Gx,company_061324,type_lOdYUb,W,40000,45000,S,False
df6a0f0af90824594c229d656c269789Li,S668,15-20元/时,EdD,GI,company_196937,type_fFlUqG,H,30000,40000,S,False
d4741cf5392c7ef7b152ee6f3a9d04a1Lz,S668,30-35元/时,Eas,GP,company_353773,type_qrSFSq,H,60000,70000,S,False
bfbc45b05c5a4425210cd2cb3d84ae09GC,V754,200-300元/天,EdD,GP,company_072761,type_bMIeXj,D,50000,75000,V,False
0bc0bbc7c4382e44684ecc5713dd5dfclr,V754,120-150元/时,EdD,GP,company_086533,type_qhLBWb,H,240000,300000,V,False
39a3d2b8857c48c2443faeacf50ae574Xo,S650,15-20元/时,EdD,Gy,company_193918,type_fFlUqG,H,30000,40000,S,False
cf8025d88a7ef18800686dbd36ecfae1dF,V079,60-90元/时,Eas,Gx,company_157379,type_qhLBWb,H,120000,180000,V,False
9f061698426c16445e46aee9114635c9ei,F301,90-100元/天,Eby,Gw,company_669186,type_LPhcvI,D,22500,25000,F,False
7287ce81975d16dd82912b32253347e2mH,F301,150-200元/天,Eby,GP,company_785195,type_lOdYUb,D,37500,50000,F,False
eb8a50987da12c63d9024b6ef24caa5aYA,F301,80-180元/天,EdD,GP,company_187316,type_qrSFSq,D,20000,45000,F,False
8f04d8848cac7f7e98164c48450e6ea9Ie,Y964,100-110元/天,Eby,GP,company_789637,type_YOHpQY,D,25000,27500,Y,False
f259ba5ebbd84567d1a85ae6dabfebf7Yn,J722,70-80元/天,Eby,GP,company_815038,type_oWxwZg,D,17500,20000,J,False
9431963a45f853e59bae2e9b61504fa9JT,N377,200-300元/天,Eas,GP,company_395521,type_qnHODO,D,50000,75000,N,False
14f24cefe18ea26c8f0b243a0e5dfcd3GC,B748,15-20元/时,EdD,GP,company_091603,type_uTAWZv,H,30000,40000,B,False
8c9c8016d13138e456a315a6068ff697lQ,B748,200-400元/天,Eby,GP,company_881489,type_YOHpQY,D,50000,100000,B,False
b223eb44fec9518682e54ab46ec9b42dcw,R858,30-70元/时,EdD,GI,company_203028,type_lOdYUb,H,60000,140000,R,False
bfbc45b05c5a4425210cd2cb3d84ae09GC,R858,100-200元/天,Eby,GP,company_304186,type_dZRlFC,D,25000,50000,R,False
83f218cf7f23957ecc0c32d5f6be9e59my,W823,50-100元/天,Eby,GP,company_360220,type_YOHpQY,D,12500,25000,W,False
f032dd16d84e869435ab43c30cabe5faau,S546,200-300元/天,Eby,GP,company_994809,type_birMPO,D,50000,75000,S,False
eb8a50987da12c63d9024b6ef24caa5aYA,S546,15-20元/时,EdD,Gx,company_320833,type_bMIeXj,H,30000,40000,S,False
57b4fbaa837986c723ebdc6944b2a4aeWU,D881,90-100元/天,Eby,GP,company_260672,type_lYwbWD,D,22500,25000,D,False
95bd43b76b27bcc73a58c095c4c35960nQ,G575,50-60元/天,Eby,GP,company_166883,type_qrSFSq,D,12500,15000,G,False
3f8a23f817ba0bc38f071c1f282e0804Mo,G575,60-100元/天,Eby,GP,company_203011,type_HcIRlZ,D,15000,25000,G,False
8487749a1fbde1b589d9f3ad3de7512cHC,G691,120-150元/时,EKk,Go,company_677582,type_PanQpo,H,240000,300000,G,False
cac62dc89c1191d1b7aa1b0a32463a49dF,O238,200-300元/天,Eas,Gy,company_087147,type_fWnADK,D,50000,75000,O,False
a4eff98014ec463ec54490a120fc52d4cz,O238,50-100元/天,Eby,GP,company_273507,type_qhLBWb,D,12500,25000,O,False
9dea1b4383b606a3dda35b4124fb0928Ds,Y359,160-170元/天,Eby,GP,company_307314,type_lOdYUb,D,40000,42500,Y,False
0f8d9e920c58c9d9ea139d1ab1b83ac6FJ,Y359,80-90元/天,Eby,GP,company_714951,type_lOdYUb,D,20000,22500,Y,False
cdb6e01527a77d5a9878138b46dedd99uS,H696,100-200元/天,EdD,Gx,company_847450,type_lOdYUb,D,25000,50000,H,False
b91cb1345709faf2dacf1bd4b10b4b39gs,H696,20-25元/时,EdD,GP,company_760364,type_fFlUqG,H,40000,50000,H,False
f259ba5ebbd84567d1a85ae6dabfebf7Yn,P248,90-100元/天,Eby,GP,company_796544,type_lOdYUb,D,22500,25000,P,False
e910b8d7a6764b17aed214a94e3e0e66uy,A845,15-25元/时,EdD,GI,company_507058,type_lOdYUb,H,30000,50000,A,False
83ac9b7621574ec3d1a6bc48cfeeb954oQ,A845,100-110元/天,Eby,GP,company_918797,type_ruszQK,D,25000,27500,A,False
005b2290249bed9e0a529f05029d536ehi,J470,100-200元/天,Eby,GP,company_010891,type_xfFBgF,D,25000,50000,J,False
54160315235e63600cf64e2f10c8f813ej,B623,80-160元/天,Eby,GP,company_689555,type_YOHpQY,D,20000,40000,B,False
a7cee5c26239e7dfa04ae26d26443ddfBn,B623,120-150元/时,EdD,GP,company_938170,type_HfjYoW,H,240000,300000,B,False
bfbc45b05c5a4425210cd2cb3d84ae09GC,B623,200-400元/天,Eby,GP,company_257167,type_vOhwEs,D,50000,100000,B,False
4e8253d6c20af58d080dfe5c4efd64b2Bd,B623,80-90元/天,Eby,GP,company_145836,type_YOHpQY,D,20000,22500,B,False
aa652d7b7d765754921ab83e94b0230eez,Y531,40-45元/时,EdD,GP,company_166459,type_qrSFSq,H,80000,90000,Y,False
f032dd16d84e869435ab43c30cabe5faau,Y531,200-300元/天,Eby,GP,company_572306,type_ruszQK,D,50000,75000,Y,False
cf8025d88a7ef18800686dbd36ecfae1dF,M907,40-150元/时,Eas,Gx,company_735477,type_lOdYUb,H,80000,300000,M,False
c5c8696a8091b1a165e07a37b520d71fnK,U827,100-110元/天,Eas,GP,company_855444,type_HfjYoW,D,25000,27500,U,False
f4b9bbc70d62642aad172544b3ebaba5dV,U827,50-60元/天,EdD,GI,company_686060,type_qGLNuz,D,12500,15000,U,False
706af2feab26eae7c38ddb1c9539db44dA,J719,280-300元/天,Eas,Gy,company_981173,type_UUMBcC,D,70000,75000,J,False
1647ffac32b2f51cfbe51f4150246471lB,L504,200-300元/天,Eby,GP,company_581593,type_ruszQK,D,50000,75000,L,False
a8f0de4b2ecd3752ab2c35059a8fc9b1yt,A050,100-200元/天,Eby,GP,company_521776,type_YOHpQY,D,25000,50000,A,False
2a740268f4b6ae96b387d479ac38ea01Fi,A050,50-100元/天,Eby,GP,company_657693,type_BLfSmG,D,12500,25000,A,False
f25e8a552a920ca8fa82486afc675f28ai,A050,200-400元/天,Eby,GP,company_818442,type_lOdYUb,D,50000,100000,A,False
e57826db7a1aec9699875434de36323bCX,A050,100-200元/天,Eby,GP,company_509239,type_qnHODO,D,25000,50000,A,False
b223eb44fec9518682e54ab46ec9b42dcw,A050,600-1800元/周,Eas,GI,company_874677,type_MhfbrD,W,30000,90000,A,False
b1beb22fb8c4aa4d07cc7c70a44b92d1WJ,Y528,100-200元/天,Eby,GP,company_869590,type_YOHpQY,D,25000,50000,Y,False
92bca01a6a5572c56087013330ea3d27Gh,M108,20-40元/时,EdD,GP,company_942880,type_qrSFSq,H,40000,80000,M,False
bb9685f7011f9604acad8ae63c6da0ddHn,H187,170-340元/天,Eby,GP,company_836451,type_wiXJCA,D,42500,85000,H,False
4567e91f242e95572016a7ce353f8c17NV,Y495,100-150元/天,Eby,GP,company_440873,type_lOdYUb,D,25000,37500,Y,False
c31759a7c06bf3c3b95ee6a39780c633Dv,L518,110-120元/天,Eby,GP,company_728010,type_xvJgzl,D,27500,30000,L,False
60ff1598edd5adff10d7eb7a468f0fb4MZ,L518,50-150元/时,EdD,Gx,company_875644,type_lOdYUb,H,100000,300000,L,False
ffc77b93e472d6680ce1fc9114179dacHZ,L518,670-680元/天,Eby,GP,company_409329,type_YOHpQY,D,167500,170000,L,False
d081c77b35b6262ce75dffe063c6cdf2AQ,B455,200-250元/天,Eby,GP,company_205192,type_lOdYUb,D,50000,62500,B,False
c16a2d1c9e684c869927ef71c6a676a8DG,B455,30-60元/时,EdD,GP,company_069365,type_Hzhxlm,H,60000,120000,B,False
297b44569ee01c35b2cf54cf2ad12128wB,Y253,3-8元/单,EdD,GP,company_662041,type_aAuygy,U,82285,121142,Y,False
c9a30a5443d04270fb0f49d437c3376bAy,Y253,150-200元/天,Eby,GP,company_164372,type_YgqIFe,D,37500,50000,Y,False
c426e6695f91852a0f232bec3bf2ec82GE,Y253,500-1000元/周,EdD,GP,company_408170,type_uTAWZv,W,25000,50000,Y,False
7d684d4aae5778ae6adc3e3e0bf6b950ru,O445,300-400元/天,EdD,GP,company_077021,type_lOdYUb,D,75000,100000,O,False
cdb6e01527a77d5a9878138b46dedd99uS,N164,150-160元/天,EKk,GI,company_552853,type_lOdYUb,D,37500,40000,N,False
0508d7be415a54eba97a968f8dacd55chL,N164,300-500元/天,Eby,GP,company_260532,type_BLfSmG,D,75000,125000,N,False
9c5781126a8873479913872b17a03155Dx,Q821,50-60元/天,EKk,GI,company_324755,type_aAuygy,D,12500,15000,Q,False
502f341f8104cb01184e37bef609063biM,D022,50-100元/天,EdD,GP,company_494329,type_amzGIA,D,12500,25000,D,False
71f952e353628d7e2f40d40038b09ac2Tn,D022,200-260元/天,Eby,GP,company_051692,type_SNJDAt,D,50000,65000,D,False
27f47548bbd20caa944a21950bb3fbb7pq,O198,150-230元/天,Eby,GP,company_251917,type_qGLNuz,D,37500,57500,O,False
3f872915752014a99a1396866f96bc72hj,O482,100-150元/天,Eby,GP,company_112795,type_pmgfTy,D,25000,37500,O,False
600a4de652c1b94b122b5b1a72cdf8baqf,O482,80-150元/时,EKk,GP,company_914869,type_kCfcsh,H,160000,300000,O,False
fdbace77ac2748b7d560af868158495dkY,R141,80-100元/天,EdD,GI,company_650043,type_lOdYUb,D,20000,25000,R,False
f259ba5ebbd84567d1a85ae6dabfebf7Yn,T182,120-140元/天,Eby,GP,company_753090,type_OGhnqx,D,30000,35000,T,False
9d660c7c4361080a1d764fb8140b5079zx,J351,50-600元/天,EdD,GP,company_812607,type_AWbXKM,D,12500,150000,J,False
ce4c1835f531b7792e71d3f94795958eUj,J351,120-150元/时,EdD,GP,company_562556,type_AWbXKM,H,240000,300000,J,False
9f061698426c16445e46aee9114635c9ei,J351,100-110元/天,Eby,GP,company_209364,type_xfFBgF,D,25000,27500,J,False
a4eff98014ec463ec54490a120fc52d4cz,D906,80-160元/天,Eby,GP,company_847660,type_qhLBWb,D,20000,40000,D,False
d26737bff980339cf372392e773fb063Es,L726,80-100元/天,Eby,GP,company_337808,type_qGLNuz,D,20000,25000,L,False
4946c60911383b69f0756c3552615c74Kb,V042,70-400元/天,EdD,GP,company_425744,type_amzGIA,D,17500,100000,V,False
1b39e7fef258c318daac2cfd408dd150PO,I606,100-110元/天,Eas,Gx,company_530757,type_lOdYUb,D,25000,27500,I,False
79ee4bc1251b3d1c26056adc932afa47wI,F861,50-100元/天,Eby,GP,company_333784,type_bMfEOy,D,12500,25000,F,False
3896ac0c41340ac06686eb161a775aa6kx,F861,150-200元/天,Eby,GP,company_441864,type_BLfSmG,D,37500,50000,F,False
f2d94d437f4bb1669e0cfc3f41bdcfbbis,G887,50-60元/天,EdD,Gx,company_837097,type_lOdYUb,D,12500,15000,G,False
df6a0f0af90824594c229d656c269789Li,V883,15-20元/时,EdD,GP,company_517606,type_gtGYMQ,H,30000,40000,V,False
cdb6e01527a77d5a9878138b46dedd99uS,V883,200-400元/天,Eas,GP,company_932174,type_lOdYUb,D,50000,100000,V,False
bb18b6d7df43d3639bb490493047cd53zp,K816,100-120元/时,EKk,Gx,company_454909,type_lOdYUb,H,200000,240000,K,False
8f04d8848cac7f7e98164c48450e6ea9Ie,K816,150-160元/天,Eby,GP,company_504307,type_YOHpQY,D,37500,40000,K,False
8f978acdccd54aa4aa853caeff8bd21fSX,P258,100-120元/天,EKk,GI,company_537996,type_SNJDAt,D,25000,30000,P,False
62c341afd686626e372fcfdfc6091dd7RX,P357,200-400元/天,Eas,GI,company_387302,type_lOdYUb,D,50000,100000,P,False
d6d105d96fe6a1a994a68b78aafd2b84Ie,J884,70-140元/天,Eby,GP,company_305950,type_CbBLwi,D,17500,35000,J,False
534952ab1cf024773caddc874099da11qn,I652,80-100元/天,EdD,GP,company_957300,type_YOHpQY,D,20000,25000,I,False
c31759a7c06bf3c3b95ee6a39780c633Dv,I652,70-75元/时,EdD,GP,company_600571,type_xvJgzl,H,140000,150000,I,False
bc1ba377ffea8707bd1c7672d73eef99wG,V852,30-50元/时,Eas,Gx,company_631898,type_CbBLwi,H,60000,100000,V,False
dcbc4702b1a74e52cab4dc1e23971439LM,V852,100-200元/天,EdD,GP,company_488078,type_BLfSmG,D,25000,50000,V,False
3f8a23f817ba0bc38f071c1f282e0804Mo,L088,100-200元/天,Eby,GP,company_390740,type_CbBLwi,D,25000,50000,L,False
19b59537f19a7171e6434596b4cd9517sv,L088,20-25元/时,EKk,GP,company_135326,type_oWxwZg,H,40000,50000,L,False
71f952e353628d7e2f40d40038b09ac2Tn,M120,100-300元/天,EdD,GP,company_618300,type_bMIeXj,D,25000,75000,M,False
b7383a6dabdff472317fc83af9aba26fZq,M120,50-150元/时,Eas,Gx,company_185528,type_lOdYUb,H,100000,300000,M,False
a8aeb2abbc05733baccebd10e985e525bg,Z087,15-20元/时,EdD,Gy,company_526367,type_qGLNuz,H,30000,40000,Z,False
161c5d477dc983b7625e0e1efeb6734bwE,L122,100-150元/天,Eby,GP,company_301945,type_lYwbWD,D,25000,37500,L,False
682e5efbd87df89c3ffe9e59883b0ad2EY,L122,100-150元/天,EdD,GP,company_027869,type_uTAWZv,D,25000,37500,L,False
4f7f001bdbae6c195a6d7ba55b98dca1pf,Y350,150-200元/天,Eby,GP,company_209252,type_UUMBcC,D,37500,50000,Y,False
596fb26f5116f2c30c4ecb08d24300bauc,P741,100-120元/时,EdD,GP,company_153603,type_iQQmHS,H,200000,240000,P,False
3fd63552b78084a7fa0cdaeb040ea59fdD,E498,20-25元/时,EdD,GP,company_664106,type_uipXwT,H,40000,50000,E,False
92bca01a6a5572c56087013330ea3d27Gh,E498,140-150元/天,Eby,GP,company_606393,type_qhLBWb,D,35000,37500,E,False
dfe6cf0d04a9ec579e80a0d01a524426dX,A685,75-150元/时,EdD,GP,company_784213,type_qhLBWb,H,150000,300000,A,False
c02e3f2283fc884b73951a20464246efcQ,A685,70-120元/天,Eby,GP,company_277615,type_jIzdnZ,D,17500,30000,A,False
bfbc45b05c5a4425210cd2cb3d84ae09GC,X536,150-200元/天,Eby,GP,company_050741,type_YwwqZR,D,37500,50000,X,False
9e12f240e482ebf51951cc5a53f7319csS,M585,20-25元/时,EdD,GP,company_922301,type_PCcrub,H,40000,50000,M,False
c820c6793d4067678ebd6784c6f768d6ef,M585,100-150元/天,Eby,GP,company_867328,type_AWbXKM,D,25000,37500,M,False
b641c6b1b342ef150544480ab3af4f36aB,B383,1000-1800元/周,EdD,GP,company_297009,type_lOdYUb,W,50000,90000,B,False
ef7345d55a0373ab32874151f895a9c0Os,Y770,100-110元/天,Eby,GP,company_926501,type_BLfSmG,D,25000,27500,Y,False
225ed1c43d3ea0edf29d9635c12054d5lM,Z347,100-200元/天,Eby,GP,company_763722,type_qhLBWb,D,25000,50000,Z,False
39a3d2b8857c48c2443faeacf50ae574Xo,P711,150-200元/天,Eby,GP,company_590528,type_ruszQK,D,37500,50000,P,False
eb2a7b3d4d04edc8bb4cf79c902e2443Ur,P711,100-150元/天,Eby,GP,company_533941,type_LPhcvI,D,25000,37500,P,False
19b59537f19a7171e6434596b4cd9517sv,A149,50-150元/时,EdD,GP,company_069548,type_EALDJm,H,100000,300000,A,False
5306f2a4a8c64335fe9190a48fb4ab08GS,F106,100-200元/天,Eby,GP,company_275829,type_lYwbWD,D,25000,50000,F,False
4e2dacaa2a36579b658329c72d89dc10yI,F106,150-200元/天,Eas,Go,company_635753,type_MhfbrD,D,37500,50000,F,False
5a4d331947fa34fabb6948644cea4a31Hv,F106,80-110元/天,Eby,GP,company_455667,type_PkZpfa,D,20000,27500,F,False
f259ba5ebbd84567d1a85ae6dabfebf7Yn,F106,150-200元/天,Eby,GP,company_618110,type_yZblEo,D,37500,50000,F,False
a700cd2d00afe8a4c9daf3875f9fd159zm,H800,30-100元/时,EdD,GI,company_531008,type_lOdYUb,H,60000,200000,H,False
19b59537f19a7171e6434596b4cd9517sv,U585,40-45元/时,EKk,Gh,company_528362,type_qrSFSq,H,80000,90000,U,False
39a3d2b8857c48c2443faeacf50ae574Xo,A570,60-100元/天,Eby,GP,company_716618,type_jImIvP,D,15000,25000,A,False
c82f110050f63259dc05a34b7f3ffe5fFR,A570,60-100元/天,Eby,GP,company_716618,type_jImIvP,D,15000,25000,A,False
19b59537f19a7171e6434596b4cd9517sv,U585,20-50元/时,EdD,GP,company_281088,type_qhLBWb,H,40000,100000,U,False
2d6d2afd6028853b0a50f674cd887f55zs,J879,100-150元/天,Eby,GP,company_548016,type_HfjYoW,D,25000,37500,J,False
6e7dd86aa020c1ee7d9375447e65f818DR,R246,200-250元/天,Eby,GP,company_258006,type_XqvUzw,D,50000,62500,R,False
0e41e0e9074471576b126b5427fc66f5ar,R246,100-150元/天,Eby,GP,company_657241,type_fWnADK,D,25000,37500,R,False
fb25fbffa1f91cafad33f598bc5e26daCT,I254,100-400元/天,EdD,GP,company_233099,type_HcIRlZ,D,25000,100000,I,False
e6c76cc378e1665f290f2fd0d64ee80bOx,K389,50-100元/天,Eby,GP,company_745379,type_uipXwT,D,12500,25000,K,False
6a526a67163636038830c42d84835f5bVW,G282,350-400元/天,Eas,GP,company_317864,type_BLfSmG,D,87500,100000,G,False
bb9685f7011f9604acad8ae63c6da0ddHn,C168,150-200元/天,Eby,GP,company_581593,type_ruszQK,D,37500,50000,C,False
9d52b7a08d20b15a5ed23b599da35f46qD,S297,500-3000元/周,EdD,GP,company_482589,type_BLfSmG,W,25000,150000,S,False
cdb6e01527a77d5a9878138b46dedd99uS,G129,80-90元/天,Eas,Gx,company_442817,type_lOdYUb,D,20000,22500,G,False
4e8253d6c20af58d080dfe5c4efd64b2Bd,G129,50-70元/天,Eby,GP,company_508856,type_fWnADK,D,12500,17500,G,False
0694e9b949bb34e23508a569c1caa938id,Y784,80-120元/天,Eby,GP,company_696734,type_lOdYUb,D,20000,30000,Y,False
dd2e98c9f488036a4c18ff411ffac2a8Xy,S124,50-100元/天,Eby,Gw,company_241677,type_BByMdf,D,12500,25000,S,False
c97fbcdc3d2efe0b9f0200ffb1445979WQ,V365,150-220元/天,Eby,GP,company_875775,type_vOhwEs,D,37500,55000,V,False
62c341afd686626e372fcfdfc6091dd7RX,V365,20-25元/时,EdD,Gx,company_489113,type_lOdYUb,H,40000,50000,V,False
026775d1dfdf605833c846b408ab364bkz,V365,30-40元/时,EKk,GI,company_225912,type_rEfHmL,H,60000,80000,V,False
f4b9bbc70d62642aad172544b3ebaba5dV,B055,60-80元/时,Eqh,GI,company_478183,type_lYBMVZ,H,120000,160000,B,False
4e2dacaa2a36579b658329c72d89dc10yI,B055,110-120元/天,Eby,GP,company_475202,type_yZblEo,D,27500,30000,B,False
be1bd80cdfccf32008dff1e458ebbb32De,R775,100-150元/天,EdD,GP,company_239263,type_ruszQK,D,25000,37500,R,False
cf98181c37e2d5a9ed3dba0a5be2ebdags,R775,80-100元/时,EdD,GP,company_418135,type_qhLBWb,H,160000,200000,R,False
c901b579da819b9e4a20a47b71629c89Bz,N780,80-85元/时,Eas,GI,company_883107,type_lOdYUb,H,160000,170000,N,False
422e306ecc84c742bd1aab21cd80edd2vv,R761,100-150元/天,Eby,GP,company_078400,type_oWxwZg,D,25000,37500,R,False
90a6d59a459719e1d355c066f1d7fd23bi,R761,150-200元/天,Eby,GP,company_722858,type_lYwbWD,D,37500,50000,R,False
0021d67ace2b055296445ba037bb8014vw,S303,20-25元/时,Eas,GI,company_875395,type_lwxCGv,H,40000,50000,S,False
4946c60911383b69f0756c3552615c74Kb,D490,50-60元/天,EdD,GP,company_114528,type_lOdYUb,D,12500,15000,D,False
4ec8f9d51f30f104abab956fde878822iH,S413,60-80元/时,Eas,Gx,company_647495,type_qGLNuz,H,120000,160000,S,False
fb25fbffa1f91cafad33f598bc5e26daCT,S413,180-220元/天,EdD,Gx,company_230145,type_ZIwauc,D,45000,55000,S,False
efaa2b8bd2a6b5ba1400b8f9d5a4c302ub,S413,200-300元/天,Eby,GP,company_814056,type_ruszQK,D,50000,75000,S,False
cdb6e01527a77d5a9878138b46dedd99uS,A295,400-600元/天,EKk,Gy,company_766335,type_lOdYUb,D,100000,150000,A,False
c9a30a5443d04270fb0f49d437c3376bAy,S503,1000-3500元/周,EdD,Gy,company_708862,type_qhLBWb,W,50000,175000,S,False
6be068c4e74275ca8ed9975805e2f763Em,S503,25-100元/时,EdD,GP,company_548026,type_btoDfW,H,50000,200000,S,False
26078160d6ab4031c976e43602f36993qn,T818,15-20元/时,EdD,GI,company_649945,type_pmgfTy,H,30000,40000,T,False
ac9b22069916f60a67155fe25d64b0b2Dh,P353,150-300元/天,Eas,Gx,company_391345,type_lOdYUb,D,37500,75000,P,False
c9a30a5443d04270fb0f49d437c3376bAy,G380,70-100元/天,Eby,GP,company_904212,type_fFlUqG,D,17500,25000,G,False
d3ba7275631f4143dde2a076ce652ffftP,T766,100-300元/天,EdD,Gh,company_380002,type_BPRUkx,D,25000,75000,T,False
a700cd2d00afe8a4c9daf3875f9fd159zm,Y031,80-200元/天,Eas,GI,company_793052,type_qhLBWb,D,20000,50000,Y,False
686a3204631f31cb73834f7d3f91a741PE,Y031,150-200元/天,Eby,GP,company_179787,type_NKZQoO,D,37500,50000,Y,False
71dbd0f6bfed0520bebc1f37aa3f1ca2tJ,N476,50-150元/天,EdD,GP,company_986062,type_qhLBWb,D,12500,37500,N,False
cf8025d88a7ef18800686dbd36ecfae1dF,E072,240-320元/天,Eby,GP,company_413244,type_lOdYUb,D,60000,80000,E,False
1757749717a5abbb21eb8ffd64bdb7c8OG,E072,200-600元/天,EdD,GP,company_826808,type_BFBWru,D,50000,150000,E,False
bb18b6d7df43d3639bb490493047cd53zp,B826,15-20元/时,EdD,GP,company_335066,type_lOdYUb,H,30000,40000,B,False
bfbc45b05c5a4425210cd2cb3d84ae09GC,R251,50-60元/天,EdD,GP,company_223529,type_Hzhxlm,D,12500,15000,R,False
bb9685f7011f9604acad8ae63c6da0ddHn,R251,150-300元/天,Eby,GP,company_483391,type_PCcrub,D,37500,75000,R,False
e6c76cc378e1665f290f2fd0d64ee80bOx,O344,150-220元/天,EdD,GP,company_200740,type_iQQmHS,D,37500,55000,O,False
4bc9a066f73000094540599ad83e6074Wn,M935,15-60元/时,Eas,GI,company_157793,type_lOdYUb,H,30000,120000,M,False
4946c60911383b69f0756c3552615c74Kb,M935,110-120元/天,EdD,GP,company_783415,type_irYhZM,D,27500,30000,M,False
b33302c688b04656f05d2a96c98e14c8cK,G065,100-200元/天,Eby,GP,company_452607,type_TrLkYZ,D,25000,50000,G,False
f59c44a5dd839c3438d134bd4c30a69bJx,G065,60-100元/天,Eas,GI,company_693073,type_lOdYUb,D,15000,25000,G,False
b0da545d3783bab813df3d0229b1ba46zl,J565,150-200元/天,Eby,GP,company_542500,type_UUMBcC,D,37500,50000,J,False
b459f2a448b3b177093919075c76df3fAW,J565,100-130元/天,EdD,GP,company_714303,type_qhLBWb,D,25000,32500,J,False
f25e8a552a920ca8fa82486afc675f28ai,J565,60-100元/天,Eas,GI,company_954726,type_lOdYUb,D,15000,25000,J,False
bfbc45b05c5a4425210cd2cb3d84ae09GC,J565,100-300元/天,EdD,GP,company_216703,type_LPhcvI,D,25000,75000,J,False
f259ba5ebbd84567d1a85ae6dabfebf7Yn,E333,100-150元/天,Eby,GP,company_554172,type_xvJgzl,D,25000,37500,E,False
243d3773a2043eebadeea2082fe996a4YX,U038,200-210元/天,Eby,GP,company_945555,type_HfjYoW,D,50000,52500,U,False
1646f56fc2920a73339967b814192694yI,L599,80-100元/时,EdD,Gx,company_808742,type_qhLBWb,H,160000,200000,L,False
02120b8a907537fee739216562384f27Lf,L599,70-120元/天,Eby,GP,company_952062,type_yZblEo,D,17500,30000,L,False
